,product_id,date,stock_received,damaged_stock
0,153019,2023-03-01,4,1
1,848226,2023-03-01,4,1
2,965755,2023-03-01,1,0
3,39154,2023-03-01,4,0
4,34186,2023-03-01,3,1
5,478531,2023-03-01,4,1
6,812607,2023-03-01,4,0
7,818990,2023-03-01,4,0
8,284460,2023-03-01,4,0
9,654297,2023-03-01,4,1
10,376447,2023-03-01,4,0
11,888807,2023-03-01,1,0
12,41853,2023-03-01,4,0
13,257719,2023-03-01,4,0
14,799952,2023-03-01,3,0
15,833557,2023-03-01,4,0
16,324809,2023-03-01,1,0
17,592784,2023-03-01,3,0
18,487065,2023-03-01,4,0
19,734789,2023-03-01,4,0
20,654623,2023-03-01,4,0
21,990993,2023-03-01,1,0
22,762527,2023-03-01,4,0
23,602241,2023-03-01,1,1
24,491521,2023-03-01,3,0
25,832348,2023-03-01,3,1
26,567671,2023-03-01,4,0
27,540618,2023-03-01,3,0
28,687218,2023-03-01,3,1
29,328457,2023-03-01,3,0
30,300159,2023-03-01,3,1
31,378676,2023-03-01,3,0
32,532965,2023-03-01,4,0
33,305754,2023-03-01,1,0
34,611575,2023-03-01,3,0
35,621677,2023-03-01,3,0
36,306177,2023-03-01,4,0
37,901144,2023-03-01,3,0
38,53833,2023-03-01,4,0
39,490602,2023-03-01,4,0
40,287070,2023-03-01,1,0
41,317242,2023-03-01,3,0
42,461804,2023-03-01,3,0
43,820541,2023-03-01,3,0
44,91670,2023-03-01,3,1
45,144124,2023-03-01,3,1
46,677542,2023-03-01,1,0
47,604184,2023-03-01,1,0
48,968887,2023-03-01,4,0
49,700048,2023-03-01,3,1
50,473647,2023-03-01,3,0
51,753354,2023-03-01,3,0
52,490939,2023-03-01,4,0
53,970529,2023-03-01,3,1
54,433521,2023-03-01,3,1
55,927651,2023-03-01,3,0
56,942001,2023-03-01,3,1
57,585299,2023-03-01,3,0
58,52729,2023-03-01,4,0
59,661577,2023-03-01,3,0
60,951463,2023-03-01,4,0
61,243235,2023-03-01,3,1
62,564692,2023-03-01,2,0
63,131748,2023-03-01,2,0
64,913428,2023-03-01,2,0
65,726958,2023-03-01,3,0
66,425341,2023-03-01,1,0
67,677169,2023-03-01,2,0
68,26060,2023-03-01,3,0
69,237083,2023-03-01,2,0
70,669378,2023-03-01,3,0
71,890623,2023-03-01,2,0
72,818990,2023-03-01,1,0
73,349294,2023-03-01,3,1
74,552883,2023-03-01,2,0
75,555121,2023-03-01,3,0
76,89084,2023-03-01,2,0
77,329351,2023-03-01,3,0
78,324809,2023-03-01,2,0
79,337168,2023-03-01,2,0
80,659290,2023-03-01,3,0
81,883013,2023-03-01,3,0
82,455083,2023-03-01,2,0
83,949818,2023-03-01,3,0
84,361361,2023-03-01,3,0
85,378230,2023-03-01,3,0
86,762527,2023-03-01,1,0
87,587420,2023-03-01,2,0
88,491521,2023-03-01,1,0
89,914071,2023-03-01,2,0
90,567671,2023-03-01,3,0
91,378287,2023-03-01,2,0
92,118820,2023-03-01,3,0
93,667163,2023-03-01,2,0
94,228286,2023-03-01,1,0
95,365132,2023-03-01,3,0
96,689769,2023-03-01,2,0
97,305754,2023-03-01,3,0
98,623234,2023-03-01,3,0
99,272170,2023-03-01,3,0
100,487931,2023-03-01,2,0
101,901144,2023-03-01,2,0
102,945635,2023-03-01,3,0
103,490602,2023-03-01,3,0
104,131136,2023-03-01,2,0
105,993331,2023-03-01,1,0
106,807452,2023-03-01,2,0
107,36412,2023-03-01,2,0
108,94225,2023-03-01,2,0
109,435929,2023-03-01,2,0
110,552496,2023-03-01,2,0
111,144124,2023-03-01,3,0
112,697683,2023-03-01,3,0
113,894539,2023-03-01,3,0
114,365133,2023-03-01,2,0
115,767398,2023-03-01,3,0
116,473647,2023-03-01,1,0
117,647462,2023-03-01,3,0
118,803607,2023-03-01,3,0
119,859361,2023-03-01,3,0
120,600767,2023-03-01,2,0
121,784827,2023-03-01,3,0
122,6405,2023-03-01,3,0
123,820973,2023-03-01,3,0
124,367391,2023-03-01,3,0
125,930284,2023-03-01,3,0
126,82484,2023-03-01,3,0
127,707935,2023-03-01,3,0
128,52729,2023-03-01,3,0
129,661577,2023-03-01,3,0
130,256783,2023-03-01,3,0
131,537274,2023-03-01,1,0
132,757274,2023-03-01,3,0
133,613942,2023-03-01,1,0
134,723678,2023-03-01,1,0
135,677169,2023-03-01,3,0
136,706112,2023-03-01,3,0
137,557908,2023-03-01,2,0
138,837480,2023-03-01,2,0
139,566052,2023-03-01,2,0
140,137909,2023-03-01,2,0
141,264803,2023-03-01,3,0
142,851978,2023-03-01,3,0
143,123983,2023-03-01,3,0
144,679284,2023-03-01,3,0
145,240179,2023-03-01,3,0
146,673058,2023-03-01,3,0
147,516376,2023-03-01,1,0
148,478531,2023-03-01,3,0
149,812607,2023-03-01,2,0
150,871592,2023-03-01,2,0
151,70969,2023-03-01,3,0
152,397973,2023-03-01,3,0
153,462526,2023-03-01,2,0
154,217710,2023-03-01,2,0
155,89084,2023-03-01,3,0
156,888807,2023-03-01,2,0
157,891833,2023-03-01,1,0
158,500739,2023-03-01,2,0
159,798639,2023-03-01,3,0
160,329351,2023-03-01,3,0
161,883013,2023-03-01,3,0
162,592784,2023-03-01,2,0
163,734789,2023-03-01,2,0
164,949818,2023-03-01,1,0
165,690565,2023-03-01,1,0
166,378230,2023-03-01,2,0
167,658389,2023-03-01,3,0
168,481843,2023-03-01,3,0
169,118820,2023-03-01,2,0
170,712003,2023-03-01,3,0
171,969851,2023-03-01,2,0
172,954722,2023-03-01,3,0
173,925482,2023-03-01,3,0
174,306177,2023-03-01,1,0
175,272170,2023-03-01,3,0
176,53833,2023-03-01,3,0
177,903336,2023-03-01,1,0
178,131136,2023-03-01,3,0
179,807452,2023-03-01,2,0
180,461804,2023-03-01,2,0
181,704868,2023-03-01,2,0
182,18035,2023-03-01,2,0
183,336847,2023-03-01,3,0
184,144124,2023-03-01,2,0
185,677542,2023-03-01,3,0
186,604184,2023-03-01,3,0
187,697683,2023-03-01,1,0
188,739534,2023-03-01,2,0
189,365133,2023-03-01,3,0
190,133542,2023-03-01,1,0
191,9436,2023-03-01,3,0
192,112390,2023-03-01,3,0
193,647462,2023-03-01,3,0
194,34200,2023-03-01,3,0
195,684939,2023-03-01,2,0
196,219598,2023-03-01,2,0
197,140154,2023-03-01,3,0
198,449106,2023-03-01,3,0
199,615545,2023-03-01,3,0
200,6405,2023-03-01,3,0
201,853932,2023-03-01,3,0
202,51036,2023-03-01,2,0
203,953175,2023-03-01,3,0
204,707935,2023-03-01,3,0
205,564692,2023-03-01,3,0
206,537274,2023-03-01,3,0
207,525531,2023-03-01,2,0
208,913428,2023-03-01,3,0
209,757274,2023-03-01,1,0
210,677169,2023-03-01,1,0
211,56589,2023-03-01,2,0
212,33797,2023-03-01,2,0
213,123983,2023-03-01,2,0
214,237083,2023-03-01,1,0
215,444361,2023-03-01,2,0
216,679284,2023-03-01,2,0
217,240179,2023-03-01,1,0
218,114414,2023-03-01,1,0
219,153019,2023-03-01,1,0
220,11422,2023-03-01,4,0
221,848226,2023-03-01,4,0
222,222892,2023-03-01,4,0
223,516376,2023-03-01,4,0
224,39154,2023-03-01,1,0
225,812607,2023-03-01,1,0
226,14145,2023-03-01,1,0
227,70969,2023-03-01,4,0
228,89084,2023-03-01,1,0
229,136533,2023-03-01,1,0
230,257719,2023-03-01,1,0
231,500633,2023-03-01,4,0
232,337168,2023-03-01,4,0
233,578097,2023-03-01,1,0
234,487065,2023-03-01,1,0
235,291238,2023-03-01,4,0
236,654623,2023-03-01,1,0
237,313754,2023-03-01,4,0
238,658389,2023-03-01,4,0
239,378287,2023-03-01,4,0
240,712003,2023-03-01,4,0
241,513199,2023-03-01,1,0
242,962054,2023-03-01,1,0
243,378676,2023-03-01,1,0
244,365132,2023-03-01,1,0
245,491314,2023-03-01,4,0
246,954722,2023-03-01,4,0
247,652118,2023-03-01,1,0
248,876139,2023-03-01,1,0
249,120532,2023-03-01,1,0
250,760684,2023-03-01,1,0
251,490602,2023-03-01,1,0
252,644847,2023-03-01,4,0
253,327290,2023-03-01,1,0
254,993331,2023-03-01,1,0
255,455755,2023-03-01,1,0
256,677542,2023-03-01,1,0
257,448752,2023-03-01,1,0
258,863930,2023-03-01,1,0
259,9436,2023-03-01,1,0
260,803607,2023-03-01,4,0
261,684939,2023-03-01,1,0
262,140154,2023-03-01,1,0
263,120385,2023-03-01,1,0
264,661577,2023-03-01,4,0
265,243235,2023-03-01,1,0
266,186168,2023-03-01,4,0
267,537274,2023-03-01,4,0
268,760828,2023-03-01,1,0
269,723678,2023-03-01,1,0
270,451812,2023-03-01,1,0
271,274207,2023-03-01,4,0
272,706112,2023-03-01,1,0
273,851978,2023-03-01,4,0
274,992178,2023-03-01,1,0
275,679284,2023-03-01,1,0
276,11422,2023-03-01,4,0
277,818990,2023-03-01,1,0
278,284460,2023-03-01,1,0
279,77308,2023-03-01,1,0
280,555121,2023-03-01,1,0
281,818522,2023-03-01,4,0
282,146840,2023-03-01,1,0
283,891833,2023-03-01,1,0
284,839170,2023-03-01,1,0
285,734789,2023-03-01,1,0
286,291238,2023-03-01,1,0
287,602241,2023-03-01,4,0
288,681063,2023-03-01,1,0
289,689769,2023-03-01,1,0
290,305754,2023-03-01,4,0
291,33955,2023-03-01,1,0
292,606256,2023-03-01,1,0
293,611575,2023-03-01,4,0
294,53833,2023-03-01,1,0
295,876139,2023-03-01,1,0
296,903336,2023-03-01,4,0
297,120532,2023-03-01,1,0
298,945635,2023-03-01,1,0
299,937542,2023-03-01,1,0
300,451933,2023-03-01,4,0
301,94225,2023-03-01,1,0
302,435929,2023-03-01,4,0
303,820541,2023-03-01,4,0
304,747801,2023-03-01,1,0
305,697683,2023-03-01,1,0
306,365133,2023-03-01,1,0
307,753354,2023-03-01,1,0
308,140489,2023-03-01,1,0
309,256051,2023-03-01,2,0
310,784827,2023-03-01,2,0
311,970529,2023-03-01,2,0
312,440875,2023-03-01,1,0
313,942001,2023-03-01,1,0
314,256783,2023-03-01,1,0
315,186168,2023-03-01,1,0
316,525531,2023-03-01,1,0
317,771228,2023-03-01,1,0
318,760828,2023-03-01,2,0
319,56589,2023-03-01,1,0
320,222892,2023-03-01,1,0
321,516376,2023-03-01,1,0
322,349294,2023-03-01,1,0
323,847349,2023-03-01,1,0
324,67197,2023-03-01,1,0
325,880510,2023-03-01,1,0
326,741341,2023-03-01,2,0
327,798639,2023-03-01,2,0
328,578097,2023-03-01,1,0
329,654623,2023-03-01,1,0
330,990993,2023-03-01,2,0
331,952168,2023-03-01,2,0
332,542300,2023-03-01,1,0
333,491521,2023-03-01,1,0
334,567671,2023-03-01,1,0
335,60619,2023-03-01,1,0
336,962591,2023-03-01,1,0
337,194682,2023-03-01,1,0
