product_id,date,stock_received,damaged_stock
153019,2023-03-01,4,1
848226,2023-03-01,4,1
965755,2023-03-01,1,0
39154,2023-03-01,4,0
34186,2023-03-01,3,1
478531,2023-03-01,4,1
812607,2023-03-01,4,0
818990,2023-03-01,4,0
284460,2023-03-01,4,0
654297,2023-03-01,4,1
376447,2023-03-01,4,0
888807,2023-03-01,1,0
41853,2023-03-01,4,0
257719,2023-03-01,4,0
799952,2023-03-01,3,0
833557,2023-03-01,4,0
324809,2023-03-01,1,0
592784,2023-03-01,3,0
487065,2023-03-01,4,0
734789,2023-03-01,4,0
654623,2023-03-01,4,0
990993,2023-03-01,1,0
762527,2023-03-01,4,0
602241,2023-03-01,1,1
491521,2023-03-01,3,0
832348,2023-03-01,3,1
567671,2023-03-01,4,0
540618,2023-03-01,3,0
687218,2023-03-01,3,1
328457,2023-03-01,3,0
300159,2023-03-01,3,1
378676,2023-03-01,3,0
532965,2023-03-01,4,0
305754,2023-03-01,1,0
611575,2023-03-01,3,0
621677,2023-03-01,3,0
306177,2023-03-01,4,0
901144,2023-03-01,3,0
53833,2023-03-01,4,0
490602,2023-03-01,4,0
287070,2023-03-01,1,0
317242,2023-03-01,3,0
461804,2023-03-01,3,0
820541,2023-03-01,3,0
91670,2023-03-01,3,1
144124,2023-03-01,3,1
677542,2023-03-01,1,0
604184,2023-03-01,1,0
968887,2023-03-01,4,0
700048,2023-03-01,3,1
473647,2023-03-01,3,0
753354,2023-03-01,3,0
490939,2023-03-01,4,0
970529,2023-03-01,3,1
433521,2023-03-01,3,1
927651,2023-03-01,3,0
942001,2023-03-01,3,1
585299,2023-03-01,3,0
52729,2023-03-01,4,0
661577,2023-03-01,3,0
951463,2023-03-01,4,0
243235,2023-03-01,3,1
564692,2023-03-01,2,0
131748,2023-03-01,2,0
913428,2023-03-01,2,0
726958,2023-03-01,3,0
425341,2023-03-01,1,0
677169,2023-03-01,2,0
26060,2023-03-01,3,0
237083,2023-03-01,2,0
669378,2023-03-01,3,0
890623,2023-03-01,2,0
818990,2023-03-01,1,0
349294,2023-03-01,3,1
552883,2023-03-01,2,0
555121,2023-03-01,3,0
